,uri,track_name,explicit
0,spotify:track:3ZWjM5bklwH3dvLgEcTgnw,Cenote,False
103,spotify:track:6l2gLTa1xINj6iQvpKcveK,Satellite 7,False
102,spotify:track:5xvCv1dp92rrQn56JlgOVa,Transit Map (Flattened),False
101,spotify:track:0GUwF55ZINH7P29y6QlJfm,Quartz,False
100,spotify:track:6HlcVT8PmqqXuKR6oQ4cSa,Q,False
99,spotify:track:4yssikR8CXEQg7rukgNZZE,a deities encore (feat. Liv.e),False
98,spotify:track:0IPFkUscKKM5ONRFC6IrsC,tender hearts meet the sky (feat. keiyaA),False
97,spotify:track:5x05lyscQMBZcASG9uP6oU,if and when (feat. Wiki),False
96,spotify:track:3FZFI1p9qhX0FWQIsklTFW,need u tonight,False
95,spotify:track:46KAYBNyPwyrC4tg3yS8Wx,say that (feat. Nomi),False
94,spotify:track:31YdhTRMSgsrrzLVe3Vje0,kissing (feat. slowthai),False
93,spotify:track:4S0E60NJqrmQcMd9elQu4w,somehow she’s still here (feat. James Blake),False
92,spotify:track:1IF8L7tcdvxU489MSIoBnu,end of the road (feat. reggie),False
91,spotify:track:67AEPCyEFsuBt1Z9kgDL9t,"heat on, lips on",False
90,spotify:track:0aqBpzk4cALQ5bnfxb2Pe8,f1 racer (feat. KUČKA),False
89,spotify:track:60CzDAQLO8FVETwIDjUw56,in your eyes (feat. slowthai & Danny Brown),False
88,spotify:track:2eYlJNEemHEzq7LQ0ESYYQ,dvd (feat. Choker),False
87,spotify:track:04Okwqtb8QDPJyZx4KFfL5,Took Some Time,False
73,spotify:track:0I5hCXkYuxxtyVfvhX5i1R,We So Young,False
74,spotify:track:2E1eiWmHcVWoKk703bPtoI,Nightmares & Dreams,False
75,spotify:track:69PFau6KtBqlsastEKHIfy,Tired Of Me,False
76,spotify:track:3BjQvCNvF2kafsf63eyBjJ,Chokehold,False
77,spotify:track:7oECNizNMlLtb78s4B5qba,Spare Me,False
78,spotify:track:3VDu96ldEUkNOjNSbTO8HP,Alter Ego 2,False
104,spotify:track:6k4OoQ5vku2KrnEGqJ3zTK,Satellite 9,False
79,spotify:track:2azWSCwlPbAWy0Vlv94JJS,Craxk Flow,False
81,spotify:track:3TyuI58RCqTpEsBF8vYKza,Closed Curtains,False
82,spotify:track:4A3h1PSpDj2gaYD7gnR8F7,Pass It On,False
83,spotify:track:60QEnYIesHvM5dvUCx6pY5,Chain Smoking,False
84,spotify:track:2pMOtZ8npLx0FoLQgFOe3m,Swim,False
